###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1
IdMlF_M50_0233.jpg		no	7:01	7:06	420833	425833	5	Im Schloßpark von Herrenhausen in Hannover	Hannover	Herrenhausen	21.4.26 (Di) 11:34		
IdNcH_M50_0240.jpg		no	7:06	7:11	425833	430833	5	Im Schloßpark von Herrenhausen in Hannover	Hannover	Herrenhausen	21.4.26 (Di) 11:42		
IhVgM_iPh16e_5388.jpg	x	no	7:11	7:16	430833	435833	5	Spaziergang in Goldbeck westlich von Hameln	Rinteln	Goldbeck	22.4.26 (Mi) 8:45		
IhXxQ_iPh16e_5390.jpg		no	7:16	7:21	435833	440833	5	Spaziergang in Goldbeck westlich von Hameln	Rinteln	Goldbeck	22.4.26 (Mi) 9:15		
ImXlM_M50_0245.jpg	x	no	7:21	7:26	440833	445833	5	Schloß Brake bei Lemgo	Lemgo	Brake	23.4.26 (Do) 9:35		
ImXqO_M50_0248.jpg		no	7:26	7:31	445833	450833	5	Am Schloß Brake bei Lemgo	Lemgo	Brake	23.4.26 (Do) 9:37		
ImXvZ_M50_0249.jpg		no	7:31	7:36	450833	455833	5	Schloß Brake bei Lemgo	Lemgo	Brake	23.4.26 (Do) 9:39		
ImXxV_M50_0250.jpg		no	7:36	7:41	455833	460833	5	Schloß Brake bei Lemgo	Lemgo	Brake	23.4.26 (Do) 9:40		
ImXyR_M50_0251.jpg		no	7:41	7:46	460833	465833	5	Schloß Brake bei Lemgo	Lemgo	Brake	23.4.26 (Do) 9:41		
ImXzI_M50_0252.jpg		no	7:46	7:51	465833	470833	5	Schloß Brake bei Lemgo	Lemgo	Brake	23.4.26 (Do) 9:41		
InFbZ_iPh16e_5394.jpg	x	no	7:51	7:56	470833	475833	5	Das Hermannsdenkmal im Teutoburger Wald	Detmold	Hiddesen	23.4.26 (Do) 11:01		
